,0
177.0,ABalpappap
178.0,ABalpappapa
179.0,ABalpappapp
180.0,ABalpappp
181.0,ABalpapppa
182.0,ABalpapppaa
183.0,ABalpapppap
184.0,ABalpapppp
185.0,ABalpappppa
186.0,ABalpappppp
187.0,ABalpp
188.0,ABalppa
189.0,ABalppaa
190.0,ABalppaaa
191.0,ABalppaaaa
192.0,ABalppaaap
193.0,ABalppaaapa
194.0,ABalppaaapp
195.0,ABalppaap
196.0,ABalppaapa
197.0,ABalppaapp
198.0,ABalppaappa
199.0,ABalppaappp
200.0,ABalppap
201.0,ABalppapa
202.0,ABalppapaa
203.0,ABalppapaaa
204.0,ABalppapaap
205.0,ABalppapap
206.0,ABalppapapa
207.0,ABalppapapp
208.0,ABalppapp
209.0,ABalppappa
210.0,ABalppappaa
211.0,ABalppappap
212.0,ABalppappp
213.0,ABalppapppa
214.0,ABalppapppp
215.0,ABalppp
216.0,ABalpppa
217.0,ABalpppaa
218.0,ABalpppaaa
219.0,ABalpppaaaa
220.0,ABalpppaaap
221.0,ABalpppaap
222.0,ABalpppaapd
223.0,ABalpppaapv
224.0,ABalpppap
225.0,ABalpppapa
226.0,ABalpppapad
227.0,ABalpppapav
228.0,ABalpppapp
229.0,ABalpppappa
230.0,ABalpppappp
231.0,ABalpppp
232.0,ABalppppa
233.0,ABalppppaa
234.0,ABalppppaad
235.0,ABalppppaav
236.0,ABalppppap
237.0,ABalppppapa
238.0,ABalppppapp
239.0,ABalppppp
240.0,ABalpppppa
241.0,ABalpppppaa
242.0,ABalpppppap
243.0,ABalpppppp
244.0,ABalppppppa
245.0,ABalppppppaa
246.0,ABalppppppap
247.0,ABalppppppp
248.0,ABalpppppppa
249.0,ABalpppppppp
250.0,ABar
251.0,ABara
252.0,ABaraa
253.0,ABaraaa
254.0,ABaraaaa
255.0,ABaraaaaa
256.0,ABaraaaaaa
257.0,ABaraaaaaaa
258.0,ABaraaaaaap
259.0,ABaraaaaap
260.0,ABaraaaaapa
261.0,ABaraaaaapp
262.0,ABaraaaap
263.0,ABaraaaapa
264.0,ABaraaaapaa
265.0,ABaraaaapap
266.0,ABaraaaapp
267.0,ABaraaap
268.0,ABaraaapa
269.0,ABaraaapaa
270.0,ABaraaapaaa
271.0,ABaraaapaap
272.0,ABaraaapap
273.0,ABaraaapapa
274.0,ABaraaapapp
275.0,ABaraaapp
276.0,ABaraaappa
277.0,ABaraaappaa
278.0,ABaraaappap
279.0,ABaraaappp
280.0,ABaraaapppa
281.0,ABaraaapppp
282.0,ABaraap
283.0,ABaraapa
284.0,ABaraapaa
285.0,ABaraapaaa
286.0,ABaraapaaaa
287.0,ABaraapaaap
288.0,ABaraapaap
289.0,ABaraapaapa
290.0,ABaraapaapp
291.0,ABaraapap
292.0,ABaraapapa
293.0,ABaraapapaa
294.0,ABaraapapap
295.0,ABaraapapp
296.0,ABaraapappa
297.0,ABaraapappp
298.0,ABaraapp
299.0,ABaraappa
300.0,ABaraappaa
301.0,ABaraappaaa
302.0,ABaraappaap
303.0,ABaraappap
304.0,ABaraappapa
305.0,ABaraappapp
306.0,ABaraappp
307.0,ABaraapppa
308.0,ABaraapppaa
309.0,ABaraapppap
310.0,ABaraapppp
311.0,ABaraappppa
312.0,ABaraappppp
313.0,ABarap
314.0,ABarapa
315.0,ABarapaa
316.0,ABarapaaa
317.0,ABarapaaaa
318.0,ABarapaaaaa
319.0,ABarapaaaap
320.0,ABarapaaap
321.0,ABarapaaapa
322.0,ABarapaaapp
323.0,ABarapaap
324.0,ABarapaapa
325.0,ABarapaapaa
326.0,ABarapaapap
327.0,ABarapaapp
328.0,ABarapaappa
329.0,ABarapaappp
330.0,ABarapap
331.0,ABarapapa
332.0,ABarapapaa
333.0,ABarapapaaa
334.0,ABarapapaap
335.0,ABarapapap
336.0,ABarapapapa
337.0,ABarapapapp
338.0,ABarapapp
339.0,ABarapappa
340.0,ABarapappaa
341.0,ABarapappap
342.0,ABarapappp
343.0,ABarapapppa
344.0,ABarapapppp
345.0,ABarapp
346.0,ABarappa
347.0,ABarappaa
348.0,ABarappaaa
349.0,ABarappaaaa
350.0,ABarappaaap
351.0,ABarappaap
352.0,ABarappaapa
353.0,ABarappaapp
354.0,ABarappap
355.0,ABarappapa
356.0,ABarappapaa
357.0,ABarappapap
358.0,ABarappapp
359.0,ABarappappa
360.0,ABarappappp
361.0,ABarappp
362.0,ABarapppa
363.0,ABarapppaa
364.0,ABarapppaaa
365.0,ABarapppaap
366.0,ABarapppap
367.0,ABarapppapa
368.0,ABarapppapp
369.0,ABarapppp
370.0,ABarappppa
371.0,ABarappppaa
372.0,ABarappppap
373.0,ABarappppp
374.0,ABarapppppa
375.0,ABarapppppp
376.0,ABarp
377.0,ABarpa
378.0,ABarpaa
379.0,ABarpaaa
380.0,ABarpaaaa
381.0,ABarpaaaaa
382.0,ABarpaaaaal
383.0,ABarpaaaaar
384.0,ABarpaaaap
385.0,ABarpaaaapa
386.0,ABarpaaaapp
387.0,ABarpaaap
388.0,ABarpaaapa
389.0,ABarpaaapaa
390.0,ABarpaaapap
391.0,ABarpaaapp
392.0,ABarpaap
393.0,ABarpaapa
394.0,ABarpaapaa
395.0,ABarpaapap
396.0,ABarpaapp
397.0,ABarpaappa
398.0,ABarpaappp
399.0,ABarpap
400.0,ABarpapa
401.0,ABarpapaa
402.0,ABarpapaaa
403.0,ABarpapaaaa
404.0,ABarpapaaap
405.0,ABarpapaap
406.0,ABarpapaapa
407.0,ABarpapaapp
408.0,ABarpapap
409.0,ABarpapapa
410.0,ABarpapapp
411.0,ABarpapp
412.0,ABarpappa
413.0,ABarpappaa
414.0,ABarpappap
415.0,ABarpappp
416.0,ABarpapppa
417.0,ABarpapppp
418.0,ABarpp
419.0,ABarppa
420.0,ABarppaa
421.0,ABarppaaa
422.0,ABarppaaaa
423.0,ABarppaaap
424.0,ABarppaap
425.0,ABarppaapa
426.0,ABarppaapp
427.0,ABarppap
428.0,ABarppapa
429.0,ABarppapaa
430.0,ABarppapap
431.0,ABarppapp
432.0,ABarppappa
433.0,ABarppappp
434.0,ABarppp
435.0,ABarpppa
436.0,ABarpppaa
437.0,ABarpppaaa
438.0,ABarpppaap
439.0,ABarpppap
440.0,ABarpppapa
441.0,ABarpppapp
442.0,ABarpppp
443.0,ABarppppa
444.0,ABarppppaa
445.0,ABarppppap
446.0,ABarppppp
447.0,ABarpppppa
448.0,ABarpppppp
449.0,ABp
450.0,ABpl
451.0,ABpla
452.0,ABplaa
453.0,ABplaaa
454.0,ABplaaaa
455.0,ABplaaaaa
456.0,ABplaaaaaa
457.0,ABplaaaaaaa
458.0,ABplaaaaaap
459.0,ABplaaaaap
460.0,ABplaaaaapa
461.0,ABplaaaaapp
462.0,ABplaaaap
463.0,ABplaaaapa
464.0,ABplaaaapp
465.0,ABplaaap
466.0,ABplaaapa
467.0,ABplaaapaa
468.0,ABplaaapap
469.0,ABplaaapp
470.0,ABplaaappa
471.0,ABplaaappp
472.0,ABplaap
473.0,ABplaapa
474.0,ABplaapaa
475.0,ABplaapaaa
476.0,ABplaapaaaa
477.0,ABplaapaaap
478.0,ABplaapaap
479.0,ABplaapaapa
480.0,ABplaapaapp
481.0,ABplaapap
482.0,ABplaapapa
483.0,ABplaapapaa
484.0,ABplaapapap
485.0,ABplaapapp
486.0,ABplaapappa
487.0,ABplaapappp
488.0,ABplaapp
489.0,ABplaappa
490.0,ABplaappaa
491.0,ABplaappap
492.0,ABplaappp
493.0,ABplaapppa
494.0,ABplaapppp
495.0,ABplap
496.0,ABplapa
497.0,ABplapaa
498.0,ABplapaaa
499.0,ABplapaaaa
500.0,ABplapaaaaa
501.0,ABplapaaaap
502.0,ABplapaaap
503.0,ABplapaaapa
504.0,ABplapaaapp
505.0,ABplapaap
506.0,ABplapaapa
507.0,ABplapaapp
508.0,ABplapap
509.0,ABplapapa
510.0,ABplapapaa
511.0,ABplapapap
512.0,ABplapapp
513.0,ABplapappa
514.0,ABplapappp
515.0,ABplapapppa
516.0,ABplapapppp
517.0,ABplapp
518.0,ABplappa
519.0,ABplappaa
520.0,ABplappaaa
521.0,ABplappaap
522.0,ABplappap
523.0,ABplappapa
524.0,ABplappapp
525.0,ABplappp
526.0,ABplapppa
527.0,ABplapppaa
528.0,ABplapppaaa
529.0,ABplapppaap
530.0,ABplapppap
531.0,ABplapppapa
532.0,ABplapppapp
533.0,ABplapppp
534.0,ABplappppa
535.0,ABplappppp
536.0,ABplp
537.0,ABplpa
538.0,ABplpaa
539.0,ABplpaaa
540.0,ABplpaaaa
541.0,ABplpaaaaa
542.0,ABplpaaaaaa
543.0,ABplpaaaaap
544.0,ABplpaaaap
545.0,ABplpaaaapa
546.0,ABplpaaaapp
547.0,ABplpaaap
548.0,ABplpaaapa
549.0,ABplpaaapaa
550.0,ABplpaaapap
551.0,ABplpaaapp
552.0,ABplpaaappa
553.0,ABplpaaappp
554.0,ABplpaap
555.0,ABplpaapa
556.0,ABplpaapaa
557.0,ABplpaapaaa
558.0,ABplpaapaap
559.0,ABplpaapap
560.0,ABplpaapapa
561.0,ABplpaapapp
562.0,ABplpaapp
563.0,ABplpaappa
564.0,ABplpaappaa
565.0,ABplpaappap
566.0,ABplpaappp
567.0,ABplpaapppa
568.0,ABplpaapppp
569.0,ABplpap
570.0,ABplpapa
571.0,ABplpapaa
572.0,ABplpapaaa
573.0,ABplpapaaaa
574.0,ABplpapaaap
575.0,ABplpapaap
576.0,ABplpapaapa
577.0,ABplpapaapp
578.0,ABplpapap
579.0,ABplpapapa
580.0,ABplpapapaa
581.0,ABplpapapap
582.0,ABplpapapp
583.0,ABplpapappa
584.0,ABplpapappp
585.0,ABplpapp
586.0,ABplpappa
587.0,ABplpappaa
588.0,ABplpappaaa
589.0,ABplpappaap
590.0,ABplpappap
591.0,ABplpappp
592.0,ABplpapppa
593.0,ABplpapppaa
594.0,ABplpapppap
595.0,ABplpapppp
596.0,ABplpappppa
597.0,ABplpappppp
598.0,ABplpp
599.0,ABplppa
600.0,ABplppaa
601.0,ABplppaaa
602.0,ABplppaaaa
603.0,ABplppaaaaa
604.0,ABplppaaaap
605.0,ABplppaaap
606.0,ABplppaap
607.0,ABplppaapa
608.0,ABplppaapaa
609.0,ABplppaapap
610.0,ABplppaapp
611.0,ABplppaappa
612.0,ABplppaappp
613.0,ABplppap
614.0,ABplppapa
615.0,ABplppapaa
616.0,ABplppapaaa
617.0,ABplppapaap
618.0,ABplppapap
619.0,ABplppapapa
620.0,ABplppapapp
621.0,ABplppapp
622.0,ABplppappa
623.0,ABplppappaa
624.0,ABplppappap
625.0,ABplppappp
626.0,ABplppapppa
627.0,ABplppapppp
628.0,ABplppp
629.0,ABplpppa
630.0,ABplpppaa
631.0,ABplpppaaa
632.0,ABplpppaaaa
633.0,ABplpppaaap
634.0,ABplpppaap
635.0,ABplpppaapa
636.0,ABplpppaapp
637.0,ABplpppap
638.0,ABplpppapa
639.0,ABplpppapaa
640.0,ABplpppapap
641.0,ABplpppapp
642.0,ABplpppp
643.0,ABplppppa
644.0,ABplppppaa
645.0,ABplppppaaa
646.0,ABplppppaap
647.0,ABplppppap
648.0,ABplppppapa
649.0,ABplppppapp
650.0,ABplppppp
651.0,ABplpppppa
652.0,ABplpppppaa
653.0,ABplpppppap
654.0,ABplpppppp
655.0,ABplppppppa
656.0,ABplppppppp
657.0,ABpr
658.0,ABpra
659.0,ABpraa
660.0,ABpraaa
661.0,ABpraaaa
662.0,ABpraaaaa
663.0,ABpraaaaaa
664.0,ABpraaaaaaa
665.0,ABpraaaaaap
666.0,ABpraaaaap
667.0,ABpraaaaapd
668.0,ABpraaaaapv
669.0,ABpraaaap
670.0,ABpraaaapa
671.0,ABpraaaapad
672.0,ABpraaaapav
673.0,ABpraaaapp
674.0,ABpraaaappa
675.0,ABpraaaappp
676.0,ABpraaap
677.0,ABpraaapa
678.0,ABpraaapaa
679.0,ABpraaapaad
680.0,ABpraaapaav
681.0,ABpraaapap
682.0,ABpraaapapa
683.0,ABpraaapapp
684.0,ABpraaapp
685.0,ABpraaappa
686.0,ABpraaappaa
687.0,ABpraaappap
688.0,ABpraaappp
689.0,ABpraaapppa
690.0,ABpraaapppp
691.0,ABpraap
692.0,ABpraapa
693.0,ABpraapaa
694.0,ABpraapaaa
695.0,ABpraapaaaa
696.0,ABpraapaaap
697.0,ABpraapaap
698.0,ABpraapaapa
699.0,ABpraapaapp
700.0,ABpraapap
701.0,ABpraapapa
702.0,ABpraapapaa
703.0,ABpraapapap
704.0,ABpraapapp
705.0,ABpraapappa
706.0,ABpraapappp
707.0,ABpraapp
708.0,ABpraappa
709.0,ABpraappaa
710.0,ABpraappap
711.0,ABpraappp
712.0,ABpraapppa
713.0,ABpraapppp
714.0,ABprap
715.0,ABprapa
716.0,ABprapaa
717.0,ABprapaaa
718.0,ABprapaaaa
719.0,ABprapaaaaa
720.0,ABprapaaaap
721.0,ABprapaaap
722.0,ABprapaaapa
723.0,ABprapaaapp
724.0,ABprapaap
725.0,ABprapaapa
726.0,ABprapaapp
727.0,ABprapap
728.0,ABprapapa
729.0,ABprapapaa
730.0,ABprapapap
731.0,ABprapapp
732.0,ABprapappa
733.0,ABprapappp
734.0,ABprapapppa
735.0,ABprapapppp
736.0,ABprapp
737.0,ABprappa
738.0,ABprappaa
739.0,ABprappaaa
740.0,ABprappaap
741.0,ABprappap
742.0,ABprappapa
743.0,ABprappapp
744.0,ABprappp
745.0,ABprapppa
746.0,ABprapppaa
747.0,ABprapppaaa
748.0,ABprapppaap
749.0,ABprapppap
750.0,ABprapppapa
751.0,ABprapppapp
752.0,ABprapppp
753.0,ABprappppa
754.0,ABprappppp
755.0,ABprp
756.0,ABprpa
757.0,ABprpaa
758.0,ABprpaaa
759.0,ABprpaaaa
760.0,ABprpaaaaa
761.0,ABprpaaaaaa
762.0,ABprpaaaaap
763.0,ABprpaaaap
764.0,ABprpaaaapa
765.0,ABprpaaaapp
766.0,ABprpaaap
767.0,ABprpaaapa
768.0,ABprpaaapaa
769.0,ABprpaaapap
770.0,ABprpaaapp
771.0,ABprpaaappa
772.0,ABprpaaappp
773.0,ABprpaap
774.0,ABprpaapa
775.0,ABprpaapaa
776.0,ABprpaapaaa
777.0,ABprpaapaap
778.0,ABprpaapap
779.0,ABprpaapapa
780.0,ABprpaapapp
781.0,ABprpaapp
782.0,ABprpaappa
783.0,ABprpaappaa
784.0,ABprpaappap
785.0,ABprpaappp
786.0,ABprpaapppa
787.0,ABprpaapppp
788.0,ABprpap
789.0,ABprpapa
790.0,ABprpapaa
791.0,ABprpapaaa
792.0,ABprpapaaaa
793.0,ABprpapaaap
794.0,ABprpapaap
795.0,ABprpapaapa
796.0,ABprpapaapp
797.0,ABprpapap
798.0,ABprpapapa
799.0,ABprpapapaa
800.0,ABprpapapap
801.0,ABprpapapp
802.0,ABprpapappa
803.0,ABprpapappp
804.0,ABprpapp
805.0,ABprpappa
806.0,ABprpappaa
807.0,ABprpappaaa
808.0,ABprpappaap
809.0,ABprpappap
810.0,ABprpappapa
811.0,ABprpappapp
812.0,ABprpappp
813.0,ABprpapppa
814.0,ABprpapppaa
815.0,ABprpapppap
816.0,ABprpapppp
817.0,ABprpappppa
818.0,ABprpappppp
819.0,ABprpp
820.0,ABprppa
821.0,ABprppaa
822.0,ABprppaaa
823.0,ABprppaaaa
824.0,ABprppaaaaa
825.0,ABprppaaaap
826.0,ABprppaaap
827.0,ABprppaap
828.0,ABprppaapa
829.0,ABprppaapaa
830.0,ABprppaapap
831.0,ABprppaapp
832.0,ABprppaappa
833.0,ABprppaappp
834.0,ABprppap
835.0,ABprppapa
836.0,ABprppapaa
837.0,ABprppapaaa
838.0,ABprppapaap
839.0,ABprppapap
840.0,ABprppapapa
841.0,ABprppapapp
842.0,ABprppapp
843.0,ABprppappa
844.0,ABprppappaa
845.0,ABprppappap
846.0,ABprppappp
847.0,ABprppapppa
848.0,ABprppapppp
849.0,ABprppp
850.0,ABprpppa
851.0,ABprpppaa
852.0,ABprpppaaa
853.0,ABprpppaaaa
854.0,ABprpppaaap
855.0,ABprpppaap
856.0,ABprpppaapa
857.0,ABprpppaapp
858.0,ABprpppap
859.0,ABprpppapa
860.0,ABprpppapaa
861.0,ABprpppapap
862.0,ABprpppapp
863.0,ABprpppp
864.0,ABprppppa
865.0,ABprppppaa
866.0,ABprppppaaa
867.0,ABprppppaap
868.0,ABprppppap
869.0,ABprppppapa
870.0,ABprppppapp
871.0,ABprppppp
872.0,ABprpppppa
873.0,ABprpppppaa
874.0,ABprpppppap
875.0,ABprpppppp
876.0,ABprppppppa
877.0,ABprppppppp
878.0,C
879.0,Ca
880.0,Caa
881.0,Caaa
882.0,Caaaa
883.0,Caaaaa
884.0,Caaaap
885.0,Caaap
886.0,Caaapa
887.0,Caaapp
888.0,Caap
889.0,Caapa
890.0,Caapaa
891.0,Caapap
892.0,Caapp
893.0,Caappd
894.0,Caappv
895.0,Cap
896.0,Capa
897.0,Capaa
898.0,Capaaa
899.0,Capaaaa
900.0,Capaaap
901.0,Capaap
902.0,Capaapa
903.0,Capaapp
904.0,Capap
905.0,Capapa
906.0,Capapaa
907.0,Capapap
908.0,Capapp
909.0,Capappa
910.0,Capappp
911.0,Capp
912.0,Cappa
913.0,Cappaa
914.0,Cappaaa
915.0,Cappaap
916.0,Cappap
917.0,Cappapa
918.0,Cappapp
919.0,Cappp
920.0,Capppa
921.0,Capppaa
922.0,Capppap
923.0,Capppp
924.0,Cappppd
925.0,Cappppv
926.0,Cp
927.0,Cpa
928.0,Cpaa
929.0,Cpaaa
930.0,Cpaaaa
931.0,Cpaaap
932.0,Cpaap
933.0,Cpaapa
934.0,Cpaapp
935.0,Cpap
936.0,Cpapa
937.0,Cpapaa
938.0,Cpapap
939.0,Cpapp
940.0,Cpappd
941.0,Cpappv
942.0,Cpp
943.0,Cppa
944.0,Cppaa
945.0,Cppaaa
946.0,Cppaaaa
947.0,Cppaaap
948.0,Cppaap
949.0,Cppaapa
950.0,Cppaapp
951.0,Cppap
952.0,Cppapa
953.0,Cppapaa
954.0,Cppapap
955.0,Cppapp
956.0,Cppappa
957.0,Cppappp
958.0,Cppp
959.0,Cpppa
960.0,Cpppaa
961.0,Cpppaaa
962.0,Cpppaap
963.0,Cpppap
964.0,Cpppapa
965.0,Cpppapp
966.0,Cpppp
967.0,Cppppa
968.0,Cppppaa
969.0,Cppppap
970.0,Cppppp
971.0,Cpppppd
972.0,Cpppppv
973.0,D
974.0,Da
975.0,Daa
976.0,Daaa
977.0,Daaaa
978.0,Daaap
979.0,Daap
980.0,Daapa
981.0,Daapp
982.0,Dap
983.0,Dapa
984.0,Dapaa
985.0,Dapap
986.0,Dapp
987.0,Dappa
988.0,Dappaa
989.0,Dappap
990.0,Dappp
991.0,Dp
992.0,Dpa
993.0,Dpaa
994.0,Dpaaa
995.0,Dpaap
996.0,Dpap
997.0,Dpapa
998.0,Dpapp
999.0,Dpp
1000.0,Dppa
1001.0,Dppaa
1002.0,Dppap
1003.0,Dppp
1004.0,Dpppa
1005.0,Dpppaa
1006.0,Dpppap
1007.0,Dpppp
1008.0,E
1009.0,EMS
1010.0,Ea
1011.0,Eal
1012.0,Eala
1013.0,Ealaa
1014.0,Ealaad
1015.0,Ealaav
1016.0,Ealap
1017.0,Ealp
1018.0,Ealpa
1019.0,Ealpp
1020.0,Ear
1021.0,Eara
1022.0,Earaa
1023.0,Earap
1024.0,Earp
1025.0,Earpa
1026.0,Earpp
1027.0,Ep
1028.0,Epl
1029.0,Epla
1030.0,Eplaa
1031.0,Eplap
1032.0,Eplp
1033.0,Eplpa
1034.0,Eplpp
1035.0,Epr
1036.0,Epra
1037.0,Epraa
1038.0,Eprap
1039.0,Eprp
1040.0,Eprpa
1041.0,Eprpp
1042.0,MS
1043.0,MSa
1044.0,MSaa
1045.0,MSaaa
1046.0,MSaaaa
1047.0,MSaaaaa
1048.0,MSaaaaaa
1049.0,MSaaaaaal
1050.0,MSaaaaaar
1051.0,MSaaaaap
1052.0,MSaaaaapa
1053.0,MSaaaaapp
1054.0,MSaaaap
1055.0,MSaaaapa
1056.0,MSaaaapaa
1057.0,MSaaaapap
1058.0,MSaaaapp
1059.0,MSaaaappa
1060.0,MSaaaappp
1061.0,MSaaap
1062.0,MSaaapa
1063.0,MSaaapaa
1064.0,MSaaapaaa
1065.0,MSaaapaap
1066.0,MSaaapap
1067.0,MSaaapapa
1068.0,MSaaapapp
1069.0,MSaaapp
1070.0,MSaaappa
1071.0,MSaaappp
1072.0,MSaap
1073.0,MSaapa
1074.0,MSaapaa
1075.0,MSaapaaa
1076.0,MSaapaaaa
1077.0,MSaapaaap
1078.0,MSaapaap
1079.0,MSaapaapa
1080.0,MSaapaapp
1081.0,MSaapap
1082.0,MSaapapa
1083.0,MSaapapaa
1084.0,MSaapapap
1085.0,MSaapapp
1086.0,MSaapappa
1087.0,MSaapappp
1088.0,MSaapp
1089.0,MSaappa
1090.0,MSaappaa
1091.0,MSaappap
1092.0,MSaappp
1093.0,MSaapppa
1094.0,MSaapppp
1095.0,MSap
1096.0,MSapa
1097.0,MSapaa
1098.0,MSapaaa
1099.0,MSapaaaa
1100.0,MSapaaap
1101.0,MSapaap
1102.0,MSapaapa
1103.0,MSapaapp
1104.0,MSapap
1105.0,MSapapa
1106.0,MSapapaa
1107.0,MSapapap
1108.0,MSapapp
1109.0,MSapappa
1110.0,MSapappp
1111.0,MSapp
1112.0,MSappa
1113.0,MSappaa
1114.0,MSappaaa
1115.0,MSappaap
1116.0,MSappap
1117.0,MSappapa
1118.0,MSappapp
1119.0,MSappp
1120.0,MSapppa
1121.0,MSapppaa
1122.0,MSapppap
1123.0,MSapppp
1124.0,MSappppa
1125.0,MSappppp
1126.0,MSp
1127.0,MSpa
1128.0,MSpaa
1129.0,MSpaaa
1130.0,MSpaaaa
1131.0,MSpaaaaa
1132.0,MSpaaaaaa
1133.0,MSpaaaaap
1134.0,MSpaaaap
1135.0,MSpaaaapa
1136.0,MSpaaaapp
1137.0,MSpaaap
1138.0,MSpaaapa
1139.0,MSpaaapaa
1140.0,MSpaaapap
1141.0,MSpaaapp
1142.0,MSpaaappa
1143.0,MSpaaappp
1144.0,MSpaap
1145.0,MSpaapa
1146.0,MSpaapaa
1147.0,MSpaapaaa
1148.0,MSpaapaap
1149.0,MSpaapap
1150.0,MSpaapapa
1151.0,MSpaapapp
1152.0,MSpaapp
1153.0,MSpap
1154.0,MSpapa
1155.0,MSpapaa
1156.0,MSpapaaa
1157.0,MSpapaaaa
1158.0,MSpapaaap
1159.0,MSpapaap
1160.0,MSpapaapa
1161.0,MSpapaapp
1162.0,MSpapap
1163.0,MSpapapa
1164.0,MSpapapaa
1165.0,MSpapapap
1166.0,MSpapapp
1167.0,MSpapappa
1168.0,MSpapappp
1169.0,MSpapp
1170.0,MSpappa
1171.0,MSpappaa
1172.0,MSpappap
1173.0,MSpappp
1174.0,MSpapppa
1175.0,MSpapppaa
1176.0,MSpapppap
1177.0,MSpapppp
1178.0,MSpp
1179.0,MSppa
1180.0,MSppaa
1181.0,MSppaaa
1182.0,MSppaaaa
1183.0,MSppaaap
1184.0,MSppaap
1185.0,MSppaapa
1186.0,MSppaapp
1187.0,MSppap
1188.0,MSppapa
1189.0,MSppapaa
1190.0,MSppapap
1191.0,MSppapp
1192.0,MSppappa
1193.0,MSppappp
1194.0,MSppp
1195.0,MSpppa
1196.0,MSpppaa
1197.0,MSpppaaa
1198.0,MSpppaap
1199.0,MSpppap
1200.0,MSpppapa
1201.0,MSpppapp
